Rk,Player,Pos,Tm,FG%,3P,FT%,TRB,AST,STL,BLK,TOV,PTS
486,Vincent Poirier\poirivi01,C,PHI,.250,0.0,.333,1.4,0.2,0.0,0.3,0.4,0.8
487,Vernon Carey Jr.\careyve01,C,CHA,.500,0.0,.500,1.3,0.1,0.0,0.1,0.1,0.7
488,Trent Forrest\forretr01,PG,UTA,.333,0.0,1.000,0.5,0.8,0.2,0.0,0.4,0.7
489,Jared Harper\harpeja01,PG,NYK,.000,0.0,1.000,0.0,0.0,0.0,0.0,0.7,0.7
490,Ignas Brazdeikis\brazdig01,SF,NYK,.000,0.0,1.000,0.5,0.3,0.0,0.0,0.3,0.5
491,Jared Dudley\dudleja01,PF,LAL,.286,0.2,,1.7,0.5,0.1,0.1,0.2,0.5
492,Ersan İlyasova\ilyaser01,F,UTA,.200,0.0,,0.5,0.3,0.0,0.0,0.3,0.5
493,Deividas Sirvydis\sirvyde01,SG,DET,.200,0.1,.500,0.3,0.1,0.1,0.0,0.1,0.5
494,Quinndary Weatherspoon\weathqu01,SG,SAS,.200,0.0,1.000,0.3,0.4,0.4,0.1,0.7,0.5
495,Keljin Blevins\blevike01,SF,POR,.182,0.0,,0.2,0.4,0.2,0.0,0.3,0.4
496,Naji Marshall\marshna01,SF,NOP,.167,0.0,.500,0.3,0.3,0.0,0.1,0.1,0.4
497,Jaylen Adams\adamsja01,PG,MIL,.125,0.0,,0.4,0.3,0.0,0.0,0.0,0.3
498,Terrance Ferguson\fergute01,SG,PHI,.143,0.0,,0.1,0.2,0.1,0.0,0.3,0.2
499,Wenyen Gabriel\gabriwe01,PF,NOP,.000,0.0,.500,1.2,0.3,0.0,0.0,0.5,0.2
500,Theo Pinson\pinsoth01,SG,NYK,.125,0.0,,0.2,0.1,0.0,0.0,0.1,0.2
501,Ty-Shon Alexander\alexaty01,SG,PHO,.000,0.0,,0.3,0.3,0.0,0.0,0.0,0.0
502,Ashton Hagans\haganas01,PG,MIN,,0.0,,0.0,0.0,0.0,0.0,0.5,0.0
503,Will Magnay\magnawi01,C,NOP,.000,0.0,,0.0,0.0,0.0,0.0,1.0,0.0
504,Anžejs Pasečņiks\pasecan01,C,WAS,.000,0.0,,1.0,1.0,0.0,0.0,5.0,0.0
505,Noah Vonleh\vonleno01,PF,BRK,.000,0.0,,0.3,0.3,0.0,0.0,0.5,0.0
506,Greg Whittington\whittgr01,PF,DEN,.000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
