Rk,Player,Pos,Tm,FG%,3P,FT%,TRB,AST,STL,BLK,TOV,PTS
101,Devonte' Graham\grahade01,PG,CHA,.376,3.1,.811,2.6,5.1,0.9,0.1,1.5,13.9
102,Rui Hachimura\hachiru01,PF,WAS,.481,0.9,.769,6.0,1.6,0.8,0.1,1.2,13.9
103,Shake Milton\miltosh01,SG,PHI,.447,1.0,.856,2.3,3.0,0.6,0.3,1.7,13.8
104,LaMarcus Aldridge\aldrila01,C,SAS,.464,1.3,.838,4.5,1.7,0.4,0.9,1.0,13.7
105,Derrick Rose\rosede01,PG,NYK,.430,1.0,.842,2.1,4.3,1.1,0.4,1.9,13.6
106,Kendrick Nunn\nunnke01,PG,MIA,.457,2.0,.907,3.1,2.6,1.0,0.2,1.5,13.5
107,Goran Dragić\dragigo01,PG,MIA,.439,1.6,.844,3.3,4.8,0.6,0.2,2.7,13.5
108,Chris Boucher\bouchch01,C,TOR,.530,1.5,.767,6.3,0.9,0.5,1.9,0.7,13.4
109,Mikal Bridges\bridgmi01,SF,PHO,.527,1.8,.835,4.9,2.4,0.9,0.9,0.9,13.4
110,Doug McDermott\mcderdo01,PF,IND,.516,1.7,.831,3.8,1.4,0.3,0.1,0.9,13.4
111,Keldon Johnson\johnske04,SF,SAS,.471,0.9,.770,6.4,1.9,0.6,0.5,1.1,13.3
112,Tyrese Haliburton\halibty01,PG,SAC,.487,2.2,.868,3.3,5.0,1.3,0.6,1.5,13.2
113,Malik Monk\monkma01,SG,CHA,.463,2.2,.815,2.6,1.8,0.5,0.1,1.5,13.2
114,Derrick White\whitede01,SG,SAS,.395,2.1,.868,2.6,3.3,0.7,1.1,1.4,13.2
115,Jarrett Allen\allenja01,C,CLE,.633,0.1,.704,9.9,1.7,0.5,1.7,1.5,13.1
116,Alec Burks\burksal01,SG,NYK,.423,2.0,.856,4.5,2.2,0.8,0.3,1.0,13.0
117,Marcus Smart\smartma01,PG,BOS,.399,1.9,.781,3.0,5.3,1.5,0.5,1.7,13.0
118,Seth Curry\curryse01,SG,PHI,.464,2.0,.921,2.2,2.9,0.9,0.2,1.4,12.9
119,Josh Jackson\jacksjo02,SG,DET,.418,1.1,.721,4.1,2.1,0.9,0.8,2.2,12.9
120,Markelle Fultz\fultzma01,PG,ORL,.394,0.5,.895,3.1,5.4,1.0,0.3,2.3,12.9
121,Danilo Gallinari\gallida01,PF,ATL,.423,2.1,.935,3.7,1.5,0.6,0.2,1.0,12.8
122,Patty Mills\millspa02,PG,SAS,.438,2.7,.911,1.7,2.5,0.7,0.0,1.0,12.8
123,Immanuel Quickley\quickim01,PG,NYK,.391,2.0,.888,2.3,2.3,0.5,0.2,1.0,12.8
124,Josh Richardson\richajo01,SG,DAL,.435,1.6,.926,3.5,2.8,0.9,0.4,1.5,12.8
125,Marcus Morris\morrima03,PF,LAC,.451,2.4,.849,3.8,1.1,0.5,0.3,0.8,12.7
126,Duncan Robinson\robindu01,SF,MIA,.425,3.3,.836,3.7,1.7,0.6,0.2,1.2,12.7
127,Myles Turner\turnemy01,C,IND,.477,1.5,.786,6.4,1.0,0.9,3.5,1.4,12.7
128,Luguentz Dort\dortlu01,SG,OKC,.386,2.0,.764,3.4,1.6,0.9,0.4,1.4,12.6
129,Will Barton\bartowi01,SF,DEN,.433,1.7,.737,4.1,3.0,0.9,0.5,1.7,12.5
130,Jalen Brunson\brunsja01,PG,DAL,.529,1.2,.794,3.5,3.3,0.5,0.0,1.4,12.5
131,Kyle Anderson\anderky01,PF,MEM,.478,1.3,.757,5.6,3.4,1.2,0.7,1.4,12.4
132,Kyle Kuzma\kuzmaky01,SF,LAL,.438,2.0,.636,6.8,1.6,0.5,0.5,1.7,12.4
133,Enes Kanter\kanteen01,C,POR,.605,0.0,.781,11.7,1.2,0.5,0.7,1.2,12.2
134,Lou Williams\willilo02,PG,LAC,.421,1.1,.866,2.1,3.4,0.9,0.1,1.6,12.1
135,Joe Ingles\inglejo01,SF,UTA,.536,2.7,.868,3.7,4.3,0.6,0.2,1.5,12.0
136,Elfrid Payton\paytoel01,PG,NYK,.438,0.4,.714,3.7,3.5,0.7,0.2,1.8,12.0
137,Thaddeus Young\youngth01,PF,CHI,.593,0.1,.537,6.4,4.4,1.3,0.6,2.1,12.0
138,Darius Bazley\bazleda01,PF,OKC,.392,1.5,.704,7.5,1.5,0.5,0.6,1.8,11.9
139,Hamidou Diallo\diallha01,SG,OKC,.486,0.4,.645,5.2,2.4,0.9,0.4,1.5,11.9
140,P.J. Washington\washipj01,PF,CHA,.441,1.4,.776,6.7,2.8,1.0,1.3,2.2,11.9
141,George Hill\hillge01,PG,OKC,.508,1.6,.840,2.1,3.1,0.9,0.1,0.9,11.8
142,James Wiseman\wisemja01,C,GSW,.522,0.3,.630,5.9,0.6,0.3,1.0,1.5,11.8
143,Brandon Clarke\clarkbr01,PF,MEM,.525,0.5,.675,5.6,1.7,1.1,0.8,0.6,11.6
144,Kevin Huerter\huertke01,SG,ATL,.415,2.1,.841,3.5,3.5,1.2,0.2,1.3,11.6
145,Justin Holiday\holidju01,SG,IND,.430,2.6,.790,3.8,1.7,1.2,0.4,0.9,11.5
146,Lonnie Walker\walkelo01,SG,SAS,.425,1.7,.783,2.8,1.6,0.5,0.4,1.0,11.5
147,Blake Griffin\griffbl01,PF,BKN,.383,1.8,.699,5.0,3.5,0.7,0.1,1.5,11.5
148,Eric Bledsoe\bledser01,SG,NOP,.419,1.8,.657,3.4,3.8,0.7,0.3,1.5,11.4
149,Brook Lopez\lopezbr01,C,MIL,.468,1.5,.837,5.1,0.7,0.7,1.4,1.0,11.3
150,Cam Reddish\reddica01,SF,ATL,.365,1.3,.817,4.0,1.3,1.3,0.3,1.3,11.2
151,Bobby Portis\portibo01,C,MIL,.538,1.1,.737,6.8,1.1,0.8,0.4,0.8,11.0
152,Naz Reid\reidna01,C,MIN,.522,0.8,.698,4.5,1.2,0.6,1.1,1.1,11.0
153,Cole Anthony\anthoco01,PG,ORL,.375,1.1,.836,4.4,3.8,0.7,0.4,2.0,11.0
154,Jordan Poole\poolejo01,SG,GSW,.471,1.7,.922,1.6,1.7,0.3,0.1,0.8,11.0
155,Saddiq Bey\beysa01,SF,DET,.411,2.3,.873,4.1,1.3,0.6,0.1,0.7,10.9
156,Serge Ibaka\ibakase01,C,LAC,.507,1.0,.822,6.7,1.7,0.2,1.2,1.1,10.9
157,Dāvis Bertāns\bertada01,PF,WAS,.389,2.8,.853,2.9,0.9,0.6,0.2,0.6,10.8
158,Wendell Carter Jr.\cartewe01,C,ORL,.514,0.2,.729,7.8,2.1,0.6,0.7,1.5,10.8
159,Rudy Gay\gayru01,PF,SAS,.409,1.6,.780,4.9,1.5,0.8,0.6,1.1,10.8
160,Donte DiVincenzo\divindo01,SG,MIL,.421,2.0,.674,5.4,3.0,1.1,0.2,1.4,10.6
161,Wayne Ellington\ellinwa01,SG,DET,.452,2.7,.774,1.8,1.4,0.4,0.2,0.7,10.6
162,Jae'Sean Tate\tateja01,SF,HOU,.520,0.8,.716,5.5,1.8,1.1,0.6,1.1,10.6
163,Kelly Olynyk\olynyke01,C,HOU,.441,1.8,.809,6.1,2.2,1.0,0.6,1.3,10.5
164,Dwayne Bacon\bacondw01,SG,ORL,.401,1.0,.845,3.0,1.2,0.5,0.1,0.7,10.4
165,Monte Morris\morrimo01,PG,DEN,.471,1.1,.762,2.2,3.4,0.7,0.3,0.7,10.4
166,Jeremy Lamb\lambje01,SG,IND,.444,1.5,.951,3.5,1.6,0.8,0.5,0.6,10.4
167,Mason Plumlee\plumlma01,C,DET,.601,0.0,.653,9.5,3.6,0.9,0.9,2.0,10.3
168,Jaylen Nowell\nowelja01,SG,MIN,.449,1.4,.830,2.3,1.6,0.6,0.3,0.7,10.3
169,Bogdan Bogdanović\bogdabo01,SG,ATL,.414,2.0,.933,3.1,2.3,0.6,0.2,1.0,10.1
170,Larry Nance Jr.\nancela02,PF,CLE,.487,1.2,.634,7.1,3.1,1.8,0.6,1.5,10.1
171,Jae Crowder\crowdja01,PF,PHO,.397,2.4,.822,5.0,2.1,0.8,0.3,0.9,10.0
172,De'Anthony Melton\meltode01,PG,MEM,.478,1.7,.771,3.3,2.7,1.2,0.5,1.2,10.0
173,Cedi Osman\osmande01,SF,CLE,.353,1.8,.754,3.5,2.6,1.0,0.1,1.1,10.0
174,Delon Wright\wrighde01,SG,SAC,.458,0.8,.789,4.5,4.9,1.6,0.5,1.3,10.0
