Date,Visitor/Neutral,Home/Neutral
Wed Mar 3 2021,Golden State Warriors,Portland Trail Blazers
Wed Mar 3 2021,Los Angeles Lakers,Sacramento Kings
Thu Mar 4 2021,Toronto Raptors,Boston Celtics
Thu Mar 4 2021,Los Angeles Clippers,Washington Wizards
Thu Mar 4 2021,Detroit Pistons,New York Knicks
Thu Mar 4 2021,Denver Nuggets,Indiana Pacers
Thu Mar 4 2021,Milwaukee Bucks,Memphis Grizzlies
Thu Mar 4 2021,Miami Heat,New Orleans Pelicans
Thu Mar 4 2021,Oklahoma City Thunder,San Antonio Spurs
Thu Mar 4 2021,Golden State Warriors,Phoenix Suns
Thu Mar 4 2021,Sacramento Kings,Portland Trail Blazers
Wed Mar 10 2021,Washington Wizards,Memphis Grizzlies
Wed Mar 10 2021,San Antonio Spurs,Dallas Mavericks
Thu Mar 11 2021,Detroit Pistons,Charlotte Hornets
Thu Mar 11 2021,Boston Celtics,Brooklyn Nets
Thu Mar 11 2021,Atlanta Hawks,Toronto Raptors
Thu Mar 11 2021,Philadelphia 76ers,Chicago Bulls
Thu Mar 11 2021,Orlando Magic,Miami Heat
Thu Mar 11 2021,New York Knicks,Milwaukee Bucks
Thu Mar 11 2021,Minnesota Timberwolves,New Orleans Pelicans
Thu Mar 11 2021,Dallas Mavericks,Oklahoma City Thunder
Thu Mar 11 2021,Golden State Warriors,Los Angeles Clippers
Thu Mar 11 2021,Phoenix Suns,Portland Trail Blazers
Thu Mar 11 2021,Houston Rockets,Sacramento Kings
Fri Mar 12 2021,Denver Nuggets,Memphis Grizzlies
Fri Mar 12 2021,Cleveland Cavaliers,New Orleans Pelicans
Fri Mar 12 2021,Philadelphia 76ers,Washington Wizards
Fri Mar 12 2021,Miami Heat,Chicago Bulls
Fri Mar 12 2021,Orlando Magic,San Antonio Spurs
Fri Mar 12 2021,Houston Rockets,Utah Jazz
Fri Mar 12 2021,Indiana Pacers,Los Angeles Lakers
Sat Mar 13 2021,New York Knicks,Oklahoma City Thunder
Sat Mar 13 2021,Detroit Pistons,Brooklyn Nets
Sat Mar 13 2021,Toronto Raptors,Charlotte Hornets
Sat Mar 13 2021,Milwaukee Bucks,Washington Wizards
Sat Mar 13 2021,Sacramento Kings,Atlanta Hawks
Sat Mar 13 2021,Portland Trail Blazers,Minnesota Timberwolves
Sat Mar 13 2021,Dallas Mavericks,Denver Nuggets
Sat Mar 13 2021,Indiana Pacers,Phoenix Suns
Sun Mar 14 2021,Memphis Grizzlies,Oklahoma City Thunder
Sun Mar 14 2021,Utah Jazz,Golden State Warriors
Sun Mar 14 2021,San Antonio Spurs,Philadelphia 76ers
Sun Mar 14 2021,Miami Heat,Orlando Magic
Sun Mar 14 2021,Cleveland Cavaliers,Atlanta Hawks
Sun Mar 14 2021,Boston Celtics,Houston Rockets
Sun Mar 14 2021,Portland Trail Blazers,Minnesota Timberwolves
Sun Mar 14 2021,Toronto Raptors,Chicago Bulls
Sun Mar 14 2021,Los Angeles Clippers,New Orleans Pelicans
Mon Mar 15 2021,Sacramento Kings,Charlotte Hornets
Mon Mar 15 2021,Milwaukee Bucks,Washington Wizards
Mon Mar 15 2021,New York Knicks,Brooklyn Nets
Mon Mar 15 2021,San Antonio Spurs,Detroit Pistons
Mon Mar 15 2021,Los Angeles Clippers,Dallas Mavericks
Mon Mar 15 2021,Indiana Pacers,Denver Nuggets
Mon Mar 15 2021,Memphis Grizzlies,Phoenix Suns
Mon Mar 15 2021,Los Angeles Lakers,Golden State Warriors
Tue Mar 16 2021,Utah Jazz,Boston Celtics
Tue Mar 16 2021,Oklahoma City Thunder,Chicago Bulls
Tue Mar 16 2021,Atlanta Hawks,Houston Rockets
Tue Mar 16 2021,Cleveland Cavaliers,Miami Heat
Tue Mar 16 2021,New York Knicks,Philadelphia 76ers
Tue Mar 16 2021,New Orleans Pelicans,Portland Trail Blazers
Tue Mar 16 2021,Minnesota Timberwolves,Los Angeles Lakers
Wed Mar 17 2021,Toronto Raptors,Detroit Pistons
Wed Mar 17 2021,Brooklyn Nets,Indiana Pacers
Wed Mar 17 2021,Milwaukee Bucks,Philadelphia 76ers
Wed Mar 17 2021,Sacramento Kings,Washington Wizards
Wed Mar 17 2021,San Antonio Spurs,Chicago Bulls
Wed Mar 17 2021,Boston Celtics,Cleveland Cavaliers
Wed Mar 17 2021,Golden State Warriors,Houston Rockets
Wed Mar 17 2021,Charlotte Hornets,Denver Nuggets
Wed Mar 17 2021,Miami Heat,Memphis Grizzlies
Wed Mar 17 2021,Los Angeles Clippers,Dallas Mavericks
Thu Mar 18 2021,Utah Jazz,Washington Wizards
Thu Mar 18 2021,Oklahoma City Thunder,Atlanta Hawks
Thu Mar 18 2021,Orlando Magic,New York Knicks
Thu Mar 18 2021,Minnesota Timberwolves,Phoenix Suns
Thu Mar 18 2021,New Orleans Pelicans,Portland Trail Blazers
Thu Mar 18 2021,Charlotte Hornets,Los Angeles Lakers
Fri Mar 19 2021,Sacramento Kings,Boston Celtics
Fri Mar 19 2021,San Antonio Spurs,Cleveland Cavaliers
Fri Mar 19 2021,Detroit Pistons,Houston Rockets
Fri Mar 19 2021,Golden State Warriors,Memphis Grizzlies
Fri Mar 19 2021,Indiana Pacers,Miami Heat
Fri Mar 19 2021,Brooklyn Nets,Orlando Magic
Fri Mar 19 2021,Utah Jazz,Toronto Raptors
Fri Mar 19 2021,Chicago Bulls,Denver Nuggets
Fri Mar 19 2021,Minnesota Timberwolves,Phoenix Suns
Fri Mar 19 2021,Dallas Mavericks,Portland Trail Blazers
Sat Mar 20 2021,Atlanta Hawks,Los Angeles Lakers
Sat Mar 20 2021,Golden State Warriors,Memphis Grizzlies
Sat Mar 20 2021,Sacramento Kings,Philadelphia 76ers
Sat Mar 20 2021,San Antonio Spurs,Milwaukee Bucks
Sat Mar 20 2021,Charlotte Hornets,Los Angeles Clippers
Sun Mar 21 2021,Indiana Pacers,Miami Heat
Sun Mar 21 2021,Oklahoma City Thunder,Houston Rockets
Sun Mar 21 2021,New Orleans Pelicans,Denver Nuggets
Sun Mar 21 2021,Orlando Magic,Boston Celtics
Sun Mar 21 2021,Washington Wizards,Brooklyn Nets
Sun Mar 21 2021,Toronto Raptors,Cleveland Cavaliers
Sun Mar 21 2021,Chicago Bulls,Detroit Pistons
Sun Mar 21 2021,Philadelphia 76ers,New York Knicks
Sun Mar 21 2021,Los Angeles Lakers,Phoenix Suns
Sun Mar 21 2021,Dallas Mavericks,Portland Trail Blazers
Mon Mar 22 2021,Sacramento Kings,Cleveland Cavaliers
Mon Mar 22 2021,Oklahoma City Thunder,Minnesota Timberwolves
Mon Mar 22 2021,Charlotte Hornets,San Antonio Spurs
Mon Mar 22 2021,Utah Jazz,Chicago Bulls
Mon Mar 22 2021,Toronto Raptors,Houston Rockets
Mon Mar 22 2021,Boston Celtics,Memphis Grizzlies
Mon Mar 22 2021,Indiana Pacers,Milwaukee Bucks
Mon Mar 22 2021,Atlanta Hawks,Los Angeles Clippers
Tue Mar 23 2021,Denver Nuggets,Orlando Magic
Tue Mar 23 2021,Los Angeles Lakers,New Orleans Pelicans
